구분,확진자,확진률,사망자,사망률,치명률,등록일자
0-9,1684,3.33,0,0.0,0.0,2020-12-21
10-19,3150,6.23,0,0.0,0.0,2020-12-21
20-29,8552,16.9,0,0.0,0.0,2020-12-21
30-39,6414,12.68,3,0.43,0.05,2020-12-21
40-49,7099,14.03,6,0.86,0.08,2020-12-21
50-59,9402,18.58,29,4.15,0.31,2020-12-21
60-69,7883,15.58,84,12.03,1.07,2020-12-21
70-79,3979,7.87,204,29.23,5.13,2020-12-21
80 이상,2428,4.8,372,53.3,15.32,2020-12-21
여성,26262,51.91,340,48.71,1.29,2020-12-21
남성,24329,48.09,358,51.29,1.47,2020-12-21
0-9,1638,3.3,0,0.0,0.0,2020-12-20
10-19,3105,6.25,0,0.0,0.0,2020-12-20
20-29,8455,17.02,0,0.0,0.0,2020-12-20
30-39,6297,12.68,2,0.3,0.03,2020-12-20
40-49,6975,14.04,6,0.89,0.09,2020-12-20
50-59,9207,18.54,28,4.15,0.3,2020-12-20
60-69,7722,15.55,81,12.02,1.05,2020-12-20
70-79,3892,7.84,200,29.67,5.14,2020-12-20
80 이상,2374,4.78,357,52.97,15.04,2020-12-20
여성,25797,51.94,329,48.81,1.28,2020-12-20
남성,23868,48.06,345,51.19,1.45,2020-12-20
0-9,1591,3.28,0,0.0,0.0,2020-12-19
10-19,3035,6.25,0,0.0,0.0,2020-12-19
20-29,8318,17.13,0,0.0,0.0,2020-12-19
30-39,6155,12.67,2,0.3,0.03,2020-12-19
40-49,6823,14.05,6,0.91,0.09,2020-12-19
50-59,8974,18.48,28,4.25,0.31,2020-12-19
60-69,7534,15.51,77,11.68,1.02,2020-12-19
70-79,3813,7.85,199,30.2,5.22,2020-12-19
80 이상,2327,4.79,347,52.66,14.91,2020-12-19
여성,25325,52.14,320,48.56,1.26,2020-12-19
남성,23245,47.86,339,51.44,1.46,2020-12-19
0-9,1558,3.28,0,0.0,0.0,2020-12-18
10-19,2969,6.25,0,0.0,0.0,2020-12-18
20-29,8183,17.22,0,0.0,0.0,2020-12-18
30-39,6044,12.72,2,0.31,0.03,2020-12-18
40-49,6669,14.04,6,0.93,0.09,2020-12-18
50-59,8754,18.42,26,4.03,0.3,2020-12-18
60-69,7358,15.49,77,11.94,1.05,2020-12-18
70-79,3730,7.85,197,30.54,5.28,2020-12-18
80 이상,2250,4.74,337,52.25,14.98,2020-12-18
여성,24744,52.08,309,47.91,1.25,2020-12-18
남성,22771,47.92,336,52.09,1.48,2020-12-18
0-9,1518,3.27,0,0.0,0.0,2020-12-17
10-19,2903,6.25,0,0.0,0.0,2020-12-17
20-29,8060,17.35,0,0.0,0.0,2020-12-17
30-39,5912,12.73,2,0.32,0.03,2020-12-17
40-49,6535,14.07,6,0.95,0.09,2020-12-17
50-59,8529,18.36,26,4.1,0.3,2020-12-17
60-69,7172,15.44,77,12.15,1.07,2020-12-17
70-79,3640,7.84,194,30.6,5.33,2020-12-17
80 이상,2184,4.7,329,51.89,15.06,2020-12-17
여성,24166,52.02,303,47.79,1.25,2020-12-17
남성,22287,47.98,331,52.21,1.49,2020-12-17
0-9,1462,3.22,0,0.0,0.0,2020-12-16
10-19,2849,6.27,0,0.0,0.0,2020-12-16
20-29,7953,17.5,0,0.0,0.0,2020-12-16
30-39,5790,12.74,2,0.33,0.03,2020-12-16
40-49,6394,14.07,6,0.98,0.09,2020-12-16
50-59,8315,18.3,25,4.08,0.3,2020-12-16
60-69,6999,15.4,74,12.09,1.06,2020-12-16
70-79,3555,7.82,190,31.05,5.34,2020-12-16
80 이상,2125,4.68,315,51.47,14.82,2020-12-16
여성,23628,52.0,295,48.2,1.25,2020-12-16
남성,21814,48.0,317,51.8,1.45,2020-12-16
0-9,1417,3.19,0,0.0,0.0,2020-12-15
10-19,2780,6.27,0,0.0,0.0,2020-12-15
20-29,7800,17.58,0,0.0,0.0,2020-12-15
30-39,5686,12.82,2,0.33,0.04,2020-12-15
40-49,6252,14.09,5,0.83,0.08,2020-12-15
50-59,8100,18.26,25,4.17,0.31,2020-12-15
60-69,6808,15.35,74,12.33,1.09,2020-12-15
70-79,3464,7.81,185,30.83,5.34,2020-12-15
80 이상,2057,4.64,309,51.5,15.02,2020-12-15
여성,23106,52.08,292,48.67,1.26,2020-12-15
남성,21258,47.92,308,51.33,1.45,2020-12-15
0-9,1377,3.17,0,0.0,0.0,2020-12-14
10-19,2726,6.27,0,0.0,0.0,2020-12-14
20-29,7700,17.71,0,0.0,0.0,2020-12-14
30-39,5573,12.82,2,0.34,0.04,2020-12-14
40-49,6127,14.09,5,0.85,0.08,2020-12-14
50-59,7949,18.28,25,4.26,0.31,2020-12-14
60-69,6676,15.35,72,12.27,1.08,2020-12-14
70-79,3385,7.78,183,31.18,5.41,2020-12-14
80 이상,1971,4.53,300,51.11,15.22,2020-12-14
여성,22641,52.07,285,48.55,1.26,2020-12-14
남성,20843,47.93,302,51.45,1.45,2020-12-14
0-9,1346,3.15,0,0.0,0.0,2020-12-13
10-19,2672,6.25,0,0.0,0.0,2020-12-13
20-29,7602,17.78,0,0.0,0.0,2020-12-13
30-39,5500,12.86,2,0.34,0.04,2020-12-13
40-49,6006,14.04,5,0.86,0.08,2020-12-13
50-59,7811,18.26,25,4.31,0.32,2020-12-13
60-69,6568,15.36,70,12.07,1.07,2020-12-13
70-79,3336,7.8,180,31.03,5.4,2020-12-13
80 이상,1925,4.5,298,51.38,15.48,2020-12-13
여성,22253,52.03,283,48.79,1.27,2020-12-13
남성,20513,47.97,297,51.21,1.45,2020-12-13
0-9,1310,3.14,0,0.0,0.0,2020-12-12
10-19,2598,6.22,0,0.0,0.0,2020-12-12
20-29,7492,17.95,0,0.0,0.0,2020-12-12
30-39,5391,12.92,2,0.35,0.04,2020-12-12
40-49,5856,14.03,5,0.87,0.09,2020-12-12
50-59,7619,18.26,25,4.33,0.33,2020-12-12
60-69,6385,15.3,68,11.76,1.06,2020-12-12
70-79,3231,7.74,180,31.14,5.57,2020-12-12
80 이상,1854,4.44,298,51.56,16.07,2020-12-12
여성,21707,52.01,283,48.96,1.3,2020-12-12
남성,20029,47.99,295,51.04,1.47,2020-12-12
0-9,1258,3.08,0,0.0,0.0,2020-12-11
10-19,2512,6.16,0,0.0,0.0,2020-12-11
20-29,7395,18.13,0,0.0,0.0,2020-12-11
30-39,5277,12.94,2,0.35,0.04,2020-12-11
40-49,5714,14.01,5,0.87,0.09,2020-12-11
50-59,7445,18.25,25,4.37,0.34,2020-12-11
60-69,6237,15.29,68,11.89,1.09,2020-12-11
70-79,3162,7.75,178,31.12,5.63,2020-12-11
80 이상,1786,4.38,294,51.4,16.46,2020-12-11
여성,21193,51.96,280,48.95,1.32,2020-12-11
남성,19593,48.04,292,51.05,1.49,2020-12-11
0-9,1223,3.05,0,0.0,0.0,2020-12-10
10-19,2466,6.15,0,0.0,0.0,2020-12-10
20-29,7310,18.23,0,0.0,0.0,2020-12-10
30-39,5196,12.96,2,0.35,0.04,2020-12-10
40-49,5615,14.0,5,0.89,0.09,2020-12-10
50-59,7320,18.26,25,4.43,0.34,2020-12-10
60-69,6137,15.31,65,11.52,1.06,2020-12-10
70-79,3100,7.73,177,31.38,5.71,2020-12-10
80 이상,1731,4.32,290,51.42,16.75,2020-12-10
여성,20841,51.98,275,48.76,1.32,2020-12-10
남성,19257,48.02,289,51.24,1.5,2020-12-10
0-9,1186,3.01,0,0.0,0.0,2020-12-09
10-19,2416,6.13,0,0.0,0.0,2020-12-09
20-29,7230,18.34,0,0.0,0.0,2020-12-09
30-39,5087,12.9,2,0.36,0.04,2020-12-09
40-49,5524,14.01,5,0.9,0.09,2020-12-09
50-59,7214,18.29,25,4.5,0.35,2020-12-09
60-69,6024,15.28,65,11.69,1.08,2020-12-09
70-79,3050,7.73,175,31.47,5.74,2020-12-09
80 이상,1701,4.31,284,51.08,16.7,2020-12-09
여성,20518,52.03,269,48.38,1.31,2020-12-09
남성,18914,47.97,287,51.62,1.52,2020-12-09
0-9,1162,3.0,0,0.0,0.0,2020-12-08
10-19,2373,6.12,0,0.0,0.0,2020-12-08
20-29,7167,18.49,0,0.0,0.0,2020-12-08
30-39,4992,12.88,2,0.36,0.04,2020-12-08
40-49,5428,14.01,5,0.91,0.09,2020-12-08
50-59,7089,18.29,25,4.53,0.35,2020-12-08
60-69,5899,15.22,64,11.59,1.08,2020-12-08
70-79,2976,7.68,174,31.52,5.85,2020-12-08
80 이상,1669,4.31,282,51.09,16.9,2020-12-08
여성,20176,52.06,267,48.37,1.32,2020-12-08
남성,18579,47.94,285,51.63,1.53,2020-12-08
0-9,1142,2.99,0,0.0,0.0,2020-12-07
10-19,2340,6.13,0,0.0,0.0,2020-12-07
20-29,7093,18.59,0,0.0,0.0,2020-12-07
30-39,4917,12.88,2,0.36,0.04,2020-12-07
40-49,5346,14.01,5,0.91,0.09,2020-12-07
50-59,6980,18.29,24,4.37,0.34,2020-12-07
60-69,5808,15.22,64,11.66,1.1,2020-12-07
70-79,2919,7.65,174,31.69,5.96,2020-12-07
80 이상,1616,4.23,280,51.0,17.33,2020-12-07
여성,19856,52.03,265,48.27,1.33,2020-12-07
남성,18305,47.97,284,51.73,1.55,2020-12-07
0-9,1128,3.0,0,0.0,0.0,2020-12-06
10-19,2309,6.15,0,0.0,0.0,2020-12-06
20-29,7009,18.67,0,0.0,0.0,2020-12-06
30-39,4842,12.9,2,0.37,0.04,2020-12-06
40-49,5272,14.04,5,0.92,0.09,2020-12-06
50-59,6841,18.22,24,4.4,0.35,2020-12-06
60-69,5709,15.21,64,11.74,1.12,2020-12-06
70-79,2860,7.62,173,31.74,6.05,2020-12-06
80 이상,1576,4.2,277,50.83,17.58,2020-12-06
여성,19539,52.04,263,48.26,1.35,2020-12-06
남성,18007,47.96,282,51.74,1.57,2020-12-06
0-9,1106,3.0,0,0.0,0.0,2020-12-05
10-19,2279,6.17,0,0.0,0.0,2020-12-05
20-29,6937,18.79,0,0.0,0.0,2020-12-05
30-39,4752,12.87,2,0.37,0.04,2020-12-05
40-49,5199,14.08,5,0.93,0.1,2020-12-05
50-59,6718,18.2,24,4.44,0.36,2020-12-05
60-69,5598,15.16,64,11.85,1.14,2020-12-05
70-79,2792,7.56,173,32.04,6.2,2020-12-05
80 이상,1534,4.16,272,50.37,17.73,2020-12-05
여성,19247,52.14,260,48.15,1.35,2020-12-05
남성,17668,47.86,280,51.85,1.58,2020-12-05
0-9,1083,2.98,0,0.0,0.0,2020-12-04
10-19,2227,6.13,0,0.0,0.0,2020-12-04
20-29,6837,18.82,0,0.0,0.0,2020-12-04
30-39,4686,12.9,2,0.37,0.04,2020-12-04
40-49,5121,14.1,5,0.93,0.1,2020-12-04
50-59,6625,18.23,24,4.48,0.36,2020-12-04
60-69,5508,15.16,64,11.94,1.16,2020-12-04
70-79,2742,7.55,173,32.28,6.31,2020-12-04
80 이상,1503,4.14,268,50.0,17.83,2020-12-04
여성,18952,52.16,257,47.95,1.36,2020-12-04
남성,17380,47.84,279,52.05,1.61,2020-12-04
0-9,1058,2.96,0,0.0,0.0,2020-12-03
10-19,2181,6.11,0,0.0,0.0,2020-12-03
20-29,6737,18.87,0,0.0,0.0,2020-12-03
30-39,4604,12.9,2,0.38,0.04,2020-12-03
40-49,5032,14.09,5,0.95,0.1,2020-12-03
50-59,6506,18.22,24,4.54,0.37,2020-12-03
60-69,5415,15.17,64,12.1,1.18,2020-12-03
70-79,2699,7.56,171,32.33,6.34,2020-12-03
80 이상,1471,4.12,263,49.72,17.88,2020-12-03
여성,18611,52.13,253,47.83,1.36,2020-12-03
남성,17092,47.87,276,52.17,1.61,2020-12-03
0-9,1027,2.92,0,0.0,0.0,2020-12-02
10-19,2140,6.09,0,0.0,0.0,2020-12-02
20-29,6633,18.86,0,0.0,0.0,2020-12-02
30-39,4536,12.9,2,0.38,0.04,2020-12-02
40-49,4939,14.05,4,0.76,0.08,2020-12-02
50-59,6411,18.23,24,4.56,0.37,2020-12-02
60-69,5340,15.19,64,12.17,1.2,2020-12-02
70-79,2672,7.6,169,32.13,6.32,2020-12-02
80 이상,1465,4.17,263,50.0,17.95,2020-12-02
여성,18344,52.17,251,47.72,1.37,2020-12-02
남성,16819,47.83,275,52.28,1.64,2020-12-02
0-9,1008,2.91,0,0.0,0.0,2020-12-01
10-19,2097,6.05,0,0.0,0.0,2020-12-01
20-29,6548,18.9,0,0.0,0.0,2020-12-01
30-39,4447,12.83,2,0.38,0.04,2020-12-01
40-49,4860,14.03,4,0.76,0.08,2020-12-01
50-59,6312,18.22,24,4.56,0.38,2020-12-01
60-69,5283,15.25,64,12.17,1.21,2020-12-01
70-79,2649,7.64,169,32.13,6.38,2020-12-01
80 이상,1448,4.18,263,50.0,18.16,2020-12-01
여성,18095,52.22,251,47.72,1.39,2020-12-01
남성,16557,47.78,275,52.28,1.66,2020-12-01
0-9,993,2.9,0,0.0,0.0,2020-11-30
10-19,2050,5.99,0,0.0,0.0,2020-11-30
20-29,6466,18.91,0,0.0,0.0,2020-11-30
30-39,4381,12.81,2,0.38,0.05,2020-11-30
40-49,4797,14.03,4,0.76,0.08,2020-11-30
50-59,6218,18.18,24,4.56,0.39,2020-11-30
60-69,5240,15.32,64,12.17,1.22,2020-11-30
70-79,2622,7.67,169,32.13,6.45,2020-11-30
80 이상,1434,4.19,263,50.0,18.34,2020-11-30
여성,17878,52.27,251,47.72,1.4,2020-11-30
남성,16323,47.73,275,52.28,1.68,2020-11-30
0-9,977,2.89,0,0.0,0.0,2020-11-29
10-19,1996,5.9,0,0.0,0.0,2020-11-29
20-29,6412,18.96,0,0.0,0.0,2020-11-29
30-39,4349,12.86,2,0.38,0.05,2020-11-29
40-49,4759,14.07,4,0.76,0.08,2020-11-29
50-59,6142,18.16,24,4.59,0.39,2020-11-29
60-69,5183,15.32,63,12.05,1.22,2020-11-29
70-79,2598,7.68,168,32.12,6.47,2020-11-29
80 이상,1408,4.16,262,50.1,18.61,2020-11-29
여성,17657,52.2,249,47.61,1.41,2020-11-29
남성,16167,47.8,274,52.39,1.69,2020-11-29
0-9,959,2.87,0,0.0,0.0,2020-11-28
10-19,1959,5.87,0,0.0,0.0,2020-11-28
20-29,6319,18.93,0,0.0,0.0,2020-11-28
30-39,4284,12.84,2,0.38,0.05,2020-11-28
40-49,4690,14.05,4,0.77,0.09,2020-11-28
50-59,6060,18.16,24,4.6,0.4,2020-11-28
60-69,5137,15.39,63,12.07,1.23,2020-11-28
70-79,2572,7.71,167,31.99,6.49,2020-11-28
80 이상,1395,4.18,262,50.19,18.78,2020-11-28
여성,17441,52.26,249,47.7,1.43,2020-11-28
남성,15934,47.74,273,52.3,1.71,2020-11-28
0-9,946,2.88,0,0.0,0.0,2020-11-27
10-19,1922,5.84,0,0.0,0.0,2020-11-27
20-29,6251,19.01,0,0.0,0.0,2020-11-27
30-39,4212,12.81,2,0.39,0.05,2020-11-27
40-49,4598,13.98,4,0.78,0.09,2020-11-27
50-59,5982,18.19,24,4.65,0.4,2020-11-27
60-69,5055,15.37,62,12.02,1.23,2020-11-27
70-79,2542,7.73,167,32.36,6.57,2020-11-27
80 이상,1379,4.19,257,49.81,18.64,2020-11-27
여성,17199,52.3,245,47.48,1.42,2020-11-27
남성,15688,47.7,271,52.52,1.73,2020-11-27
0-9,925,2.86,0,0.0,0.0,2020-11-26
10-19,1882,5.82,0,0.0,0.0,2020-11-26
20-29,6165,19.08,0,0.0,0.0,2020-11-26
30-39,4127,12.77,2,0.39,0.05,2020-11-26
40-49,4499,13.92,4,0.78,0.09,2020-11-26
50-59,5865,18.15,24,4.66,0.41,2020-11-26
60-69,4987,15.43,62,12.04,1.24,2020-11-26
70-79,2515,7.78,167,32.43,6.64,2020-11-26
80 이상,1353,4.19,256,49.71,18.92,2020-11-26
여성,16942,52.42,244,47.38,1.44,2020-11-26
남성,15376,47.58,271,52.62,1.76,2020-11-26
0-9,904,2.85,0,0.0,0.0,2020-11-25
10-19,1825,5.75,0,0.0,0.0,2020-11-25
20-29,6040,19.03,0,0.0,0.0,2020-11-25
30-39,4044,12.74,2,0.39,0.05,2020-11-25
40-49,4406,13.88,4,0.78,0.09,2020-11-25
50-59,5770,18.18,24,4.68,0.42,2020-11-25
60-69,4915,15.49,62,12.09,1.26,2020-11-25
70-79,2487,7.84,165,32.16,6.63,2020-11-25
80 이상,1344,4.24,256,49.9,19.05,2020-11-25
여성,16656,52.48,244,47.56,1.46,2020-11-25
남성,15079,47.52,269,52.44,1.78,2020-11-25
0-9,893,2.85,0,0.0,0.0,2020-11-24
10-19,1794,5.72,0,0.0,0.0,2020-11-24
20-29,5988,19.1,0,0.0,0.0,2020-11-24
30-39,3983,12.7,2,0.39,0.05,2020-11-24
40-49,4331,13.81,4,0.78,0.09,2020-11-24
50-59,5698,18.17,24,4.71,0.42,2020-11-24
60-69,4869,15.53,61,11.96,1.25,2020-11-24
70-79,2463,7.86,163,31.96,6.62,2020-11-24
80 이상,1334,4.25,256,50.2,19.19,2020-11-24
여성,16480,52.56,242,47.45,1.47,2020-11-24
남성,14873,47.44,268,52.55,1.8,2020-11-24
0-9,877,2.83,0,0.0,0.0,2020-11-23
10-19,1776,5.73,0,0.0,0.0,2020-11-23
20-29,5921,19.1,0,0.0,0.0,2020-11-23
30-39,3930,12.68,2,0.39,0.05,2020-11-23
40-49,4271,13.78,4,0.79,0.09,2020-11-23
50-59,5638,18.18,24,4.72,0.43,2020-11-23
60-69,4826,15.57,61,11.98,1.26,2020-11-23
70-79,2438,7.86,163,32.02,6.69,2020-11-23
80 이상,1327,4.28,255,50.1,19.22,2020-11-23
여성,16321,52.64,242,47.54,1.48,2020-11-23
남성,14683,47.36,267,52.46,1.82,2020-11-23
0-9,854,2.78,0,0.0,0.0,2020-11-22
10-19,1755,5.71,0,0.0,0.0,2020-11-22
20-29,5880,19.13,0,0.0,0.0,2020-11-22
30-39,3889,12.65,2,0.4,0.05,2020-11-22
40-49,4222,13.74,4,0.79,0.09,2020-11-22
50-59,5588,18.18,23,4.55,0.41,2020-11-22
60-69,4806,15.64,61,12.08,1.27,2020-11-22
70-79,2421,7.88,161,31.88,6.65,2020-11-22
80 이상,1318,4.29,254,50.3,19.27,2020-11-22
여성,16178,52.64,240,47.52,1.48,2020-11-22
남성,14555,47.36,265,52.48,1.82,2020-11-22
0-9,837,2.75,0,0.0,0.0,2020-11-21
10-19,1735,5.71,0,0.0,0.0,2020-11-21
20-29,5815,19.13,0,0.0,0.0,2020-11-21
30-39,3842,12.64,2,0.4,0.05,2020-11-21
40-49,4158,13.68,4,0.8,0.1,2020-11-21
50-59,5532,18.2,23,4.57,0.42,2020-11-21
60-69,4774,15.7,61,12.13,1.28,2020-11-21
70-79,2403,7.9,160,31.81,6.66,2020-11-21
80 이상,1307,4.3,253,50.3,19.36,2020-11-21
여성,16021,52.7,239,47.51,1.49,2020-11-21
남성,14382,47.3,264,52.49,1.84,2020-11-21
0-9,822,2.74,0,0.0,0.0,2020-11-20
10-19,1699,5.66,0,0.0,0.0,2020-11-20
20-29,5707,19.01,0,0.0,0.0,2020-11-20
30-39,3793,12.64,2,0.4,0.05,2020-11-20
40-49,4102,13.67,4,0.8,0.1,2020-11-20
50-59,5476,18.24,23,4.59,0.42,2020-11-20
60-69,4737,15.78,60,11.98,1.27,2020-11-20
70-79,2380,7.93,159,31.74,6.68,2020-11-20
80 이상,1301,4.33,253,50.5,19.45,2020-11-20
여성,15845,52.79,238,47.5,1.5,2020-11-20
남성,14172,47.21,263,52.5,1.86,2020-11-20
0-9,811,2.73,0,0.0,0.0,2020-11-19
10-19,1664,5.61,0,0.0,0.0,2020-11-19
20-29,5642,19.03,0,0.0,0.0,2020-11-19
30-39,3744,12.63,2,0.4,0.05,2020-11-19
40-49,4043,13.63,4,0.8,0.1,2020-11-19
50-59,5416,18.26,23,4.62,0.42,2020-11-19
60-69,4692,15.82,59,11.85,1.26,2020-11-19
70-79,2352,7.93,159,31.93,6.76,2020-11-19
80 이상,1290,4.35,251,50.4,19.46,2020-11-19
여성,15673,52.85,236,47.39,1.51,2020-11-19
남성,13981,47.15,262,52.61,1.87,2020-11-19
0-9,789,2.69,0,0.0,0.0,2020-11-18
10-19,1621,5.53,0,0.0,0.0,2020-11-18
20-29,5594,19.08,0,0.0,0.0,2020-11-18
30-39,3697,12.61,2,0.4,0.05,2020-11-18
40-49,3987,13.6,4,0.81,0.1,2020-11-18
50-59,5361,18.29,23,4.64,0.43,2020-11-18
60-69,4648,15.86,57,11.49,1.23,2020-11-18
70-79,2335,7.97,159,32.06,6.81,2020-11-18
80 이상,1279,4.36,251,50.6,19.62,2020-11-18
여성,15511,52.92,235,47.38,1.52,2020-11-18
남성,13800,47.08,261,52.62,1.89,2020-11-18
0-9,784,2.7,0,0.0,0.0,2020-11-17
10-19,1605,5.53,0,0.0,0.0,2020-11-17
20-29,5547,19.13,0,0.0,0.0,2020-11-17
30-39,3650,12.59,2,0.4,0.05,2020-11-17
40-49,3926,13.54,4,0.81,0.1,2020-11-17
50-59,5306,18.3,23,4.66,0.43,2020-11-17
60-69,4607,15.89,57,11.54,1.24,2020-11-17
70-79,2315,7.98,157,31.78,6.78,2020-11-17
80 이상,1258,4.34,251,50.81,19.95,2020-11-17
여성,15382,53.05,234,47.37,1.52,2020-11-17
남성,13616,46.95,260,52.63,1.91,2020-11-17
0-9,774,2.69,0,0.0,0.0,2020-11-16
10-19,1593,5.54,0,0.0,0.0,2020-11-16
20-29,5510,19.15,0,0.0,0.0,2020-11-16
30-39,3624,12.6,2,0.4,0.06,2020-11-16
40-49,3890,13.52,4,0.81,0.1,2020-11-16
50-59,5262,18.29,23,4.66,0.44,2020-11-16
60-69,4569,15.88,57,11.54,1.25,2020-11-16
70-79,2297,7.98,157,31.78,6.84,2020-11-16
80 이상,1250,4.34,251,50.81,20.08,2020-11-16
여성,15270,53.08,234,47.37,1.53,2020-11-16
남성,13499,46.92,260,52.63,1.93,2020-11-16
0-9,768,2.69,0,0.0,0.0,2020-11-15
10-19,1581,5.54,0,0.0,0.0,2020-11-15
20-29,5473,19.17,0,0.0,0.0,2020-11-15
30-39,3597,12.6,2,0.41,0.06,2020-11-15
40-49,3861,13.53,4,0.81,0.1,2020-11-15
50-59,5222,18.29,23,4.67,0.44,2020-11-15
60-69,4516,15.82,57,11.56,1.26,2020-11-15
70-79,2282,7.99,157,31.85,6.88,2020-11-15
80 이상,1246,4.36,250,50.71,20.06,2020-11-15
여성,15165,53.12,233,47.26,1.54,2020-11-15
남성,13381,46.88,260,52.74,1.94,2020-11-15
0-9,760,2.68,0,0.0,0.0,2020-11-14
10-19,1568,5.53,0,0.0,0.0,2020-11-14
20-29,5447,19.22,0,0.0,0.0,2020-11-14
30-39,3570,12.6,2,0.41,0.06,2020-11-14
40-49,3834,13.53,4,0.81,0.1,2020-11-14
50-59,5173,18.25,23,4.67,0.44,2020-11-14
60-69,4476,15.8,57,11.59,1.27,2020-11-14
70-79,2269,8.01,157,31.91,6.92,2020-11-14
80 이상,1241,4.38,249,50.61,20.06,2020-11-14
여성,15057,53.13,232,47.15,1.54,2020-11-14
남성,13281,46.87,260,52.85,1.96,2020-11-14
0-9,748,2.66,0,0.0,0.0,2020-11-13
10-19,1554,5.52,0,0.0,0.0,2020-11-13
20-29,5411,19.23,0,0.0,0.0,2020-11-13
30-39,3538,12.58,2,0.41,0.06,2020-11-13
40-49,3805,13.53,4,0.82,0.11,2020-11-13
50-59,5137,18.26,22,4.51,0.43,2020-11-13
60-69,4444,15.8,56,11.48,1.26,2020-11-13
70-79,2262,8.04,157,32.17,6.94,2020-11-13
80 이상,1234,4.39,247,50.61,20.02,2020-11-13
여성,14957,53.17,231,47.34,1.54,2020-11-13
남성,13176,46.83,257,52.66,1.95,2020-11-13
0-9,741,2.65,0,0.0,0.0,2020-11-12
10-19,1545,5.53,0,0.0,0.0,2020-11-12
20-29,5383,19.26,0,0.0,0.0,2020-11-12
30-39,3519,12.59,2,0.41,0.06,2020-11-12
40-49,3782,13.54,4,0.82,0.11,2020-11-12
50-59,5095,18.23,22,4.52,0.43,2020-11-12
60-69,4416,15.8,56,11.5,1.27,2020-11-12
70-79,2245,8.03,157,32.24,6.99,2020-11-12
80 이상,1216,4.35,246,50.51,20.23,2020-11-12
여성,14857,53.17,230,47.23,1.55,2020-11-12
남성,13085,46.83,257,52.77,1.96,2020-11-12
0-9,735,2.64,0,0.0,0.0,2020-11-11
10-19,1532,5.51,0,0.0,0.0,2020-11-11
20-29,5357,19.27,0,0.0,0.0,2020-11-11
30-39,3496,12.58,2,0.41,0.06,2020-11-11
40-49,3760,13.53,4,0.82,0.11,2020-11-11
50-59,5070,18.24,22,4.52,0.43,2020-11-11
60-69,4401,15.83,56,11.5,1.27,2020-11-11
70-79,2236,8.04,157,32.24,7.02,2020-11-11
80 이상,1212,4.36,246,50.51,20.3,2020-11-11
여성,14791,53.21,230,47.23,1.55,2020-11-11
남성,13008,46.79,257,52.77,1.98,2020-11-11
0-9,729,2.64,0,0.0,0.0,2020-11-10
10-19,1527,5.52,0,0.0,0.0,2020-11-10
20-29,5337,19.3,0,0.0,0.0,2020-11-10
30-39,3478,12.58,2,0.41,0.06,2020-11-10
40-49,3748,13.55,4,0.82,0.11,2020-11-10
50-59,5049,18.26,22,4.54,0.44,2020-11-10
60-69,4371,15.81,55,11.34,1.26,2020-11-10
70-79,2217,8.02,157,32.37,7.08,2020-11-10
80 이상,1197,4.33,245,50.52,20.47,2020-11-10
여성,14713,53.21,230,47.42,1.56,2020-11-10
남성,12940,46.79,255,52.58,1.97,2020-11-10
0-9,726,2.63,0,0.0,0.0,2020-11-09
10-19,1518,5.51,0,0.0,0.0,2020-11-09
20-29,5316,19.29,0,0.0,0.0,2020-11-09
30-39,3465,12.58,2,0.42,0.06,2020-11-09
40-49,3736,13.56,4,0.83,0.11,2020-11-09
50-59,5036,18.28,22,4.58,0.44,2020-11-09
60-69,4356,15.81,54,11.25,1.24,2020-11-09
70-79,2208,8.01,156,32.5,7.07,2020-11-09
80 이상,1192,4.33,242,50.42,20.3,2020-11-09
여성,14669,53.24,228,47.5,1.55,2020-11-09
남성,12884,46.76,252,52.5,1.96,2020-11-09
0-9,723,2.64,0,0.0,0.0,2020-11-08
10-19,1512,5.51,0,0.0,0.0,2020-11-08
20-29,5301,19.33,0,0.0,0.0,2020-11-08
30-39,3440,12.54,2,0.42,0.06,2020-11-08
40-49,3717,13.55,4,0.84,0.11,2020-11-08
50-59,5017,18.29,22,4.6,0.44,2020-11-08
60-69,4341,15.83,54,11.3,1.24,2020-11-08
70-79,2193,8.0,155,32.43,7.07,2020-11-08
80 이상,1183,4.31,241,50.42,20.37,2020-11-08
여성,14600,53.23,226,47.28,1.55,2020-11-08
남성,12827,46.77,252,52.72,1.96,2020-11-08
0-9,720,2.64,0,0.0,0.0,2020-11-07
10-19,1508,5.53,0,0.0,0.0,2020-11-07
20-29,5292,19.4,0,0.0,0.0,2020-11-07
30-39,3414,12.51,2,0.42,0.06,2020-11-07
40-49,3695,13.54,4,0.84,0.11,2020-11-07
50-59,4995,18.31,22,4.61,0.44,2020-11-07
60-69,4317,15.82,54,11.32,1.25,2020-11-07
70-79,2169,7.95,155,32.49,7.15,2020-11-07
80 이상,1174,4.3,240,50.31,20.44,2020-11-07
여성,14533,53.27,226,47.38,1.56,2020-11-07
남성,12751,46.73,251,52.62,1.97,2020-11-07
0-9,719,2.64,0,0.0,0.0,2020-11-06
10-19,1503,5.53,0,0.0,0.0,2020-11-06
20-29,5282,19.42,0,0.0,0.0,2020-11-06
30-39,3399,12.5,2,0.42,0.06,2020-11-06
40-49,3674,13.51,4,0.84,0.11,2020-11-06
50-59,4986,18.33,22,4.62,0.44,2020-11-06
