ID,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,맘스터치 매장수,버거지수,y,x
합천,0.0,0.0,0.0,1.0,1.0,0.0,16.0,7.0
영암,0.0,0.0,0.0,1.0,3.0,0.0,23.0,1.0
고령,0.0,0.0,0.0,1.0,1.0,0.0,13.0,9.0
화순,0.0,0.0,0.0,1.0,1.0,0.0,21.0,4.0
함양,0.0,0.0,0.0,1.0,1.0,0.0,17.0,6.0
진안,0.0,0.0,0.0,1.0,0.0,0.0,18.0,4.0
김제,0.0,0.0,0.0,1.0,1.0,0.0,17.0,3.0
남원,0.0,0.0,0.0,2.0,1.0,0.0,18.0,5.0
무주,0.0,0.0,0.0,2.0,0.0,0.0,16.0,5.0
부안,0.0,0.0,0.0,1.0,1.0,0.0,17.0,2.0
순창,0.0,0.0,0.0,1.0,1.0,0.0,20.0,3.0
완주,0.0,0.0,0.0,2.0,4.0,0.0,17.0,4.0
횡성,0.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0
동해,0.0,0.0,0.0,3.0,3.0,0.0,4.0,11.0
서천,0.0,0.0,0.0,1.0,2.0,0.0,15.0,2.0
증평,0.0,0.0,0.0,1.0,1.0,0.0,13.0,6.0
양구,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0
음성,0.0,0.0,0.0,5.0,4.0,0.0,11.0,5.0
임실,0.0,0.0,0.0,1.0,0.0,0.0,19.0,4.0
옥천,0.0,0.0,0.0,2.0,1.0,0.0,15.0,6.0
장수,0.0,0.0,0.0,1.0,0.0,0.0,17.0,5.0
화천,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0
태백,0.0,0.0,0.0,1.0,1.0,0.0,4.0,10.0
삼척,0.0,0.0,0.0,1.0,2.0,0.0,5.0,11.0
철원,0.0,0.0,0.0,2.0,3.0,0.0,0.0,7.0
함안,0.0,0.0,0.0,1.0,1.0,0.0,19.0,6.0
인제,0.0,0.0,0.0,4.0,3.0,0.0,1.0,8.0
해남,0.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0
부산 서구,0.0,0.0,0.0,2.0,4.0,0.0,19.0,9.0
가평,0.0,0.0,0.0,4.0,3.0,0.0,3.0,7.0
계룡,0.0,0.0,0.0,1.0,1.0,0.0,14.0,4.0
영동,0.0,0.0,0.0,1.0,1.0,0.0,15.0,7.0
보은,0.0,0.0,0.0,1.0,1.0,0.0,13.0,8.0
단양,0.0,0.0,0.0,1.0,1.0,0.0,11.0,7.0
공주,0.0,0.0,0.0,2.0,3.0,0.0,12.0,4.0
금산,0.0,0.0,0.0,1.0,2.0,0.0,15.0,3.0
정선,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0
논산,0.0,0.0,0.0,2.0,4.0,0.0,14.0,3.0
고창,0.0,0.0,0.0,1.0,1.0,0.0,18.0,1.0
괴산,0.0,0.0,0.0,1.0,1.0,0.0,12.0,8.0
영월,0.0,0.0,0.0,1.0,1.0,0.0,7.0,10.0
청양,0.0,0.0,0.0,1.0,0.0,0.0,13.0,3.0
예산,0.0,0.0,0.0,1.0,1.0,0.0,12.0,3.0
부여,0.0,0.0,0.0,2.0,1.0,0.0,14.0,2.0
태안,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0
